id_produto,nome_produto,descricao,categoria,sub_categoria,tamanho,cor,preco_unitario,estoque_disponivel
101,Saias Curta Estilo 45,"Saias em tecido de alta qualidade, design moderno e confortável.",Saias,Curta,38,Laranja,478.84,183
102,Moletom Street Estilo 3,"Moletom em tecido de alta qualidade, design moderno e confortável.",Moletom,Street,P,Bordô,374.35,123
103,Calças Jeans Estilo 32,"Calças em tecido de alta qualidade, design moderno e confortável.",Calças,Jeans,42,Rosa Bebê,387.06,400
104,Jaquetas Casual Estilo 12,"Jaquetas em tecido de alta qualidade, design moderno e confortável.",Jaquetas,Casual,40,Turquesa,487.36,477
105,Calças Jeans Estilo 40,"Calças em tecido de alta qualidade, design moderno e confortável.",Calças,Jeans,XG,Branco,47.49,388
106,Calças Legging Estilo 49,"Calças em tecido de alta qualidade, design moderno e confortável.",Calças,Legging,38,Laranja,326.61,20
107,Vestidos Curto Estilo 7,"Vestidos em tecido de alta qualidade, design moderno e confortável.",Vestidos,Curto,42,Cinza,92.51,331
108,Acessórios Lenço Estilo 13,"Acessórios em tecido de alta qualidade, design moderno e confortável.",Acessórios,Lenço,XG,Amarelo,235.53,151
109,Jaquetas Couro Estilo 48,"Jaquetas em tecido de alta qualidade, design moderno e confortável.",Jaquetas,Couro,G,Cinza,412.4,419
110,Jaquetas Casual Estilo 38,"Jaquetas em tecido de alta qualidade, design moderno e confortável.",Jaquetas,Casual,P,Bege,481.02,54
111,Jaquetas Casual Estilo 9,"Jaquetas em tecido de alta qualidade, design moderno e confortável.",Jaquetas,Casual,P,Rosa Bebê,393.86,295
112,Acessórios Cinto Estilo 22,"Acessórios em tecido de alta qualidade, design moderno e confortável.",Acessórios,Cinto,G,Bege,372.99,471
113,Acessórios Chapéu Estilo 13,"Acessórios em tecido de alta qualidade, design moderno e confortável.",Acessórios,Chapéu,GG,Laranja,418.86,261
114,Shorts Praia Estilo 40,"Shorts em tecido de alta qualidade, design moderno e confortável.",Shorts,Praia,44,Bordô,94.7,39
115,Blusas Off Shoulder Estilo 41,"Blusas em tecido de alta qualidade, design moderno e confortável.",Blusas,Off Shoulder,40,Bordô,63.21,45
116,Vestidos Curto Estilo 7,"Vestidos em tecido de alta qualidade, design moderno e confortável.",Vestidos,Curto,M,Amarelo,138.27,312
117,Acessórios Meia Estilo 2,"Acessórios em tecido de alta qualidade, design moderno e confortável.",Acessórios,Meia,GG,Bordô,471.99,477
118,Saias Godê Estilo 46,"Saias em tecido de alta qualidade, design moderno e confortável.",Saias,Godê,38,Branco,439.95,85
119,Saias Midi Estilo 35,"Saias em tecido de alta qualidade, design moderno e confortável.",Saias,Midi,46,Vermelho,430.9,482
120,Acessórios Meia Estilo 26,"Acessórios em tecido de alta qualidade, design moderno e confortável.",Acessórios,Meia,46,Preto,286.49,461
121,Calças Legging Estilo 17,"Calças em tecido de alta qualidade, design moderno e confortável.",Calças,Legging,P,Preto,188.78,138
122,Jaquetas Inverno Estilo 49,"Jaquetas em tecido de alta qualidade, design moderno e confortável.",Jaquetas,Inverno,P,Azul Marinho,125.89,423
123,Shorts Esportivo Estilo 16,"Shorts em tecido de alta qualidade, design moderno e confortável.",Shorts,Esportivo,42,Branco,408.56,293
124,Camisetas Manga Longa Estilo 5,"Camisetas em tecido de alta qualidade, design moderno e confortável.",Camisetas,Manga Longa,40,Laranja,377.37,480
125,Calças Legging Estilo 9,"Calças em tecido de alta qualidade, design moderno e confortável.",Calças,Legging,XG,Marrom,49.52,23
126,Blusas Cropped Estilo 42,"Blusas em tecido de alta qualidade, design moderno e confortável.",Blusas,Cropped,38,Cinza,254.37,405
